# stat_desc_map.tsv - generated by poe_tools.py (build-stat-desc)
# generated: 2026-09-15T15:29:39Z
# Format: stat_id TAB template TAB arg_index TAB group_ids
# template placeholders: {0} {1} = stat values; wiki links stripped
# arg_index: which {N} this stat fills (0=first, 1=second, ...)
# group_ids: comma-separated group (multi-stat entries share a template)
%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100	Consuming Glory grants you {0}% increased Attack damage per Glory consumed for 6 seconds, up to 60%	0	%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100
%_chance_for_crossbow_reload_to_be_instant	{0}% chance when you Reload a Crossbow to be immediate	0	%_chance_for_crossbow_reload_to_be_instant
%_chance_to_apply_hounded_by_wisps_on_hit	Chance to inflict 1 Faerie Fire on Hit@{0}	0	%_chance_to_apply_hounded_by_wisps_on_hit
%_chance_to_blind_on_critical_strike	{0}% chance to Blind Enemies on Critical Hit	0	%_chance_to_blind_on_critical_strike
%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth	Critical Hits have {0}% chance to Blind Enemies while you have Cat's Stealth	0	%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth
%_chance_to_cause_bleeding_enemies_to_flee_on_hit	{0}% Chance to cause Bleeding Enemies to Flee on hit	0	%_chance_to_cause_bleeding_enemies_to_flee_on_hit
%_chance_to_create_smoke_cloud_on_mine_or_trap_creation	{0}% chance to create a Smoke Cloud when you lay a Mine or throw a Trap	0	%_chance_to_create_smoke_cloud_on_mine_or_trap_creation
%_chance_to_deal_150%_area_damage_+%_final	Hits have {0}% chance to deal 50% more Area Damage	0	%_chance_to_deal_150%_area_damage_+%_final
%_chance_to_duplicate_dropped_currency	Basic Currency Items dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_currency
%_chance_to_duplicate_dropped_divination_cards	Divination Cards dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_divination_cards
%_chance_to_duplicate_dropped_gems	Gems dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_gems
%_chance_to_duplicate_dropped_maps	Maps dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_maps
%_chance_to_duplicate_dropped_scarabs	Scarabs dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_scarabs
%_chance_to_duplicate_dropped_sentinels	{}% chance for found Sentinels to be Duplicated	0	%_chance_to_duplicate_dropped_sentinels
%_chance_to_duplicate_dropped_uniques	Unique Items dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_uniques
%_chance_to_gain_endurance_charge_each_second_while_channelling	{0}% chance to gain an Endurance Charge each second while Channelling	0	%_chance_to_gain_endurance_charge_each_second_while_channelling
%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Frenzy Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life	{0}% chance to gain a Power Charge on Hit against Enemies that are on Full Life	0	%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life
%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Power Charge when your Mine is Detonated targeting an Enemy	0	%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_power_charge_on_placing_a_totem	{0}% chance to gain a Power Charge when you Summon a Totem	0	%_chance_to_gain_power_charge_on_placing_a_totem
%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain a Power Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance, Frenzy or Power Charge when any\nof your Traps are Triggered by an Enemy	0	%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy
%_maximum_life_as_focus	Enemies have Maximum Concentration equal to {0}% of their Maximum Life	0	%_maximum_life_as_focus
%_maximum_life_inflicted_as_aoe_fire_damage_when_hit	Deal {0}% of your maximum Life as Fire Damage to nearby Enemies when Hit	0	base_%_maximum_life_inflicted_as_aoe_fire_damage_when_hit
%_number_of_raging_spirits_allowed	{0}% increased Maximum number of Summoned Raging Spirits	0	%_number_of_raging_spirits_allowed
%_of_life_regeneration_applies_to_totems	{}% of your Life Regeneration applies to your Totems aswell	0	%_of_life_regeneration_applies_to_totems
%_of_physical_hit_damage_you_deal_causes_additional_blood_loss	{0}% of Physical damage dealt by your Hits causes Blood Loss	0	%_of_physical_hit_damage_you_deal_causes_additional_blood_loss
%_physical_damage_bypasses_energy_shield	Physical Damage taken bypasses Energy Shield	0	%_physical_damage_bypasses_energy_shield
accuracy_rating_+%_equal_to_%_attack_critical_strike_chance	Attacks gain increased Accuracy Rating equal to their Critical Hit Chance	0	accuracy_rating_+%_equal_to_%_attack_critical_strike_chance
accuracy_rating_+%_final_at_max_distance_scaled	Supported Skills have no Accuracy Rating Penalty from Range	0	accuracy_rating_+%_final_at_max_distance_scaled
accuracy_rating_+%_if_enemy_not_killed_recently	{0}% increased Accuracy Rating if you haven't Killed Recently	0	accuracy_rating_+%_if_enemy_not_killed_recently
accuracy_rating_+%_if_have_crit_in_past_8_seconds	{0}% increased Accuracy Rating if you've dealt a Critical Hit in the past 8 seconds	0	accuracy_rating_+%_if_have_crit_in_past_8_seconds
accuracy_rating_+%_per_10_tribute	{0}% increased Accuracy Rating per 10 Tribute	0	accuracy_rating_+%_per_10_tribute
accuracy_rating_+%_per_25_tribute	{0}% increased Accuracy Rating per 25 Tribute	0	accuracy_rating_+%_per_25_tribute
accuracy_rating_+%_per_frenzy_charge	{0}% increased Accuracy Rating per Frenzy Charge	0	accuracy_rating_+%_per_frenzy_charge
accuracy_rating_+%_vs_abyssal_wasting_afflicted	{0}% increased Accuracy Rating against Enemies affected by Abyssal Wasting	0	accuracy_rating_+%_vs_abyssal_wasting_afflicted
accuracy_rating_+%_vs_enemies_in_close_range	{0}% increased Accuracy Rating at Close Range	0	accuracy_rating_+%_vs_enemies_in_close_range
accuracy_rating_+%_vs_rare_or_unique_enemy	{0}% increased Accuracy Rating against Rare or Unique Enemies	0	accuracy_rating_+%_vs_rare_or_unique_enemy
accuracy_rating_+%_vs_unique_enemies	{}% increased Accuracy Rating against Unique Enemies	0	accuracy_rating_+%_vs_unique_enemies
accuracy_rating_+%_when_on_low_life	{0}% increased Accuracy Rating when on Low Life	0	accuracy_rating_+%_when_on_low_life
accuracy_rating_+%_while_moving	{0}% increased Accuracy Rating while moving	0	accuracy_rating_+%_while_moving
accuracy_rating_+%_while_shapeshifted	{0}% increased Accuracy Rating while Shapeshifted	0	accuracy_rating_+%_while_shapeshifted
accuracy_rating_+%_while_surrounded	{0}% increased Accuracy Rating while Surrounded	0	accuracy_rating_+%_while_surrounded
accuracy_rating_+_per_evasion_rating_on_helmet	{0:+d} to Accuracy Rating per 1 Item Evasion Rating on Equipped Helmet	0	accuracy_rating_+_per_evasion_rating_on_helmet
accuracy_rating_+_per_frenzy_charge	{0:+d} to Accuracy Rating per Frenzy Charge	0	accuracy_rating_+_per_frenzy_charge
accuracy_rating_+_per_green_socket_on_bow	{0:+d} to Accuracy Rating per Green Socket on Equipped Bow	0	accuracy_rating_+_per_green_socket_on_bow
accuracy_rating_against_marked_enemies_+%	{0}% increased Accuracy Rating against Marked Enemy	0	accuracy_rating_against_marked_enemies_+%
accuracy_rating_is_doubled	Accuracy Rating is Doubled	0	accuracy_rating_is_doubled
accuracy_rating_per_level	{0:+d} to Accuracy Rating per Level	0	accuracy_rating_per_level
accuracy_rating_vs_bleeding_enemies	{0:+d} to Accuracy against Bleeding Enemies	0	accuracy_rating_vs_bleeding_enemies
accuracy_rating_while_at_maximum_frenzy_charges	{0:+d} to Accuracy Rating while at Maximum Frenzy Charges	0	accuracy_rating_while_at_maximum_frenzy_charges
accuracy_rating_while_dual_wielding_+%	{0}% increased Accuracy Rating while Dual Wielding	0	accuracy_rating_while_dual_wielding_+%
action_speed_-%	{0}% reduced Action Speed	0	action_speed_-%
action_speed_cannot_be_reduced_below_base	Action Speed cannot be modified to below base value	0	action_speed_cannot_be_reduced_below_base
action_speed_cannot_be_slowed_below_base_if_cast_temporal_chains_in_past_10_seconds	Action Speed cannot be Slowed below Base Value if you've cast Temporal Chains in the past 10 seconds	0	action_speed_cannot_be_slowed_below_base_if_cast_temporal_chains_in_past_10_seconds
active_block_maximum_distance_+%	{0}% increased Parry Range	0	active_block_maximum_distance_+%
active_skill_200%_increased_knockback_distance	200% increased Knockback Distance	0	active_skill_200%_increased_knockback_distance
active_skill_added_damage_+%_final	Deals {0}% more added damage	0	active_skill_added_damage_+%_final
active_skill_additional_critical_strike_chance_if_used_through_frostbolt	{0:+d}% to Critical Hit Chance when Cast on Frostbolt	0	active_skill_additional_critical_strike_chance_if_used_through_frostbolt
active_skill_additional_projectiles_description_mode	Skills fire an additional Projectile	0	active_skill_additional_projectiles_description_mode,number_of_additional_projectiles
active_skill_additive_spell_damage_modifiers_apply_to_attack_damage_at_%_value	Increases and Reductions to Spell Damage also apply to Attack Damage from this Skill	0	active_skill_additive_spell_damage_modifiers_apply_to_attack_damage_at_%_value
active_skill_all_damage_%_as_fire_if_heat_is_consumed	Damage Gained as Fire on {0} Heat Consumption@{1}%	1	consume_X_heat_on_skill_use,active_skill_all_damage_%_as_fire_if_heat_is_consumed,ignite_effect_+%_final_if_heat_is_consumed
active_skill_all_elemental_exposure_compounding_magnitude	Initial Pulse Exposure\nExposure per pulse\nMaximum Elemental Exposure applied@{0}%\n{1}%\n{2}%	1	active_skill_all_elemental_exposure_magnitude,active_skill_all_elemental_exposure_compounding_magnitude,active_skill_all_elemental_exposure_compounding_magnitude_cap
active_skill_all_elemental_exposure_compounding_magnitude_cap	Initial Pulse Exposure\nExposure per pulse\nMaximum Elemental Exposure applied@{0}%\n{1}%\n{2}%	2	active_skill_all_elemental_exposure_magnitude,active_skill_all_elemental_exposure_compounding_magnitude,active_skill_all_elemental_exposure_compounding_magnitude_cap
active_skill_all_elemental_exposure_magnitude	Initial Pulse Exposure\nExposure per pulse\nMaximum Elemental Exposure applied@{0}%\n{1}%\n{2}%	0	active_skill_all_elemental_exposure_magnitude,active_skill_all_elemental_exposure_compounding_magnitude,active_skill_all_elemental_exposure_compounding_magnitude_cap
active_skill_area_damage_+%_final	{0}% more Area Damage	0	active_skill_area_damage_+%_final
active_skill_area_of_effect_+%_final	{0}% more Area of Effect	0	active_skill_area_of_effect_+%_final
active_skill_area_of_effect_+%_final_per_endurance_charge	{0}% more Area of Effect per Endurance Charge	0	active_skill_area_of_effect_+%_final_per_endurance_charge
active_skill_area_of_effect_+%_final_when_cast_on_frostbolt	{0}% more Area of Effect when Cast on Frostbolt	0	active_skill_area_of_effect_+%_final_when_cast_on_frostbolt
active_skill_area_of_effect_radius	Explosion radius@{0}m	0	active_skill_area_of_effect_radius
active_skill_attack_damage_+%_final	Deals {0}% more Attack damage	0	active_skill_attack_damage_+%_final
active_skill_attack_damage_+%_final_with_two_handed_weapon	{0}% more Attack damage with Two Handed Weapons	0	active_skill_attack_damage_+%_final_with_two_handed_weapon
active_skill_attack_damage_final_permyriad	Deals {0}% more Attack damage	0	active_skill_attack_damage_final_permyriad
active_skill_attack_speed_+%_final	{0}% more Attack Speed	0	active_skill_attack_speed_+%_final
active_skill_attack_speed_+%_final_per_frenzy_charge	{0}% more Attack Speed per Frenzy Charge	0	active_skill_attack_speed_+%_final_per_frenzy_charge
active_skill_attack_speed_+%_final_while_dual_wielding	While Dual Wielding, both weapons hit with\n{0}% more attack speed	0	active_skill_attack_speed_+%_final_while_dual_wielding
active_skill_attack_speed_+%_final_with_two_handed_weapon	{0}% more Attack Speed with Two Handed Weapons	0	active_skill_attack_speed_+%_final_with_two_handed_weapon
active_skill_base_all_damage_%_to_gain_as_chaos	Gains {0}% of Damage as Extra Chaos Damage	0	active_skill_base_all_damage_%_to_gain_as_chaos
active_skill_base_all_damage_%_to_gain_as_fire	Gain {0}% damage as Extra Fire Damage	0	active_skill_base_all_damage_%_to_gain_as_fire
active_skill_base_all_damage_%_to_gain_as_lightning	Gain {0}% damage as Extra Lightning Damage	0	active_skill_base_all_damage_%_to_gain_as_lightning
active_skill_base_area_length_+	{0:+d} to Area of Effect length	0	active_skill_base_area_length_+
active_skill_base_area_of_effect_radius	Socketed Skills have {0:+d} metres to base radius	0	active_skill_base_area_of_effect_radius,quality_display_active_skill_base_area_of_effect_radius_is_gem
active_skill_base_cold_damage_%_to_convert_to_fire	Converts {0}% of Cold damage to Fire damage	0	active_skill_base_cold_damage_%_to_convert_to_fire
active_skill_base_elemental_damage_to_deal_per_minute	Deals {0} damage per second of each absorbed\nElemental Damage type	0	active_skill_base_elemental_damage_to_deal_per_minute
active_skill_base_fire_damage_%_to_convert_to_chaos	Converts {0}% of Fire damage to Chaos damage	0	active_skill_base_fire_damage_%_to_convert_to_chaos
active_skill_base_lightning_damage_%_to_convert_to_chaos	Converts {0}% of Lightning damage to Chaos damage	0	active_skill_base_lightning_damage_%_to_convert_to_chaos
active_skill_base_physical_damage_%_to_convert_to_chaos	Converts {0}% of Physical damage to Chaos damage	0	active_skill_base_physical_damage_%_to_convert_to_chaos
active_skill_base_physical_damage_%_to_convert_to_cold	Converts {0}% of Physical damage to Cold damage	0	active_skill_base_physical_damage_%_to_convert_to_cold,active_skill_display_suppress_physical_to_cold_damage_conversion
active_skill_base_physical_damage_%_to_convert_to_fire	Converts {0}% of Physical damage to Fire damage	0	active_skill_base_physical_damage_%_to_convert_to_fire
active_skill_base_physical_damage_%_to_convert_to_lightning	Converts {0}% of Physical Damage to Lightning Damage	0	active_skill_base_physical_damage_%_to_convert_to_lightning
active_skill_base_physical_damage_%_to_gain_as_cold	Gains {0}% of Physical damage as Cold damage	0	active_skill_base_physical_damage_%_to_gain_as_cold
active_skill_base_physical_damage_%_to_gain_as_fire	Gains {0}% of Physical damage as Fire damage	0	active_skill_base_physical_damage_%_to_gain_as_fire
active_skill_base_physical_damage_%_to_gain_as_lightning	Gains {0}% of Physical damage as Lightning damage	0	active_skill_base_physical_damage_%_to_gain_as_lightning
active_skill_base_radius_+	{0:+d} to radius	0	active_skill_base_radius_+
active_skill_base_secondary_area_of_effect_radius	Burst radius is {0} metre	0	active_skill_base_secondary_area_of_effect_radius
active_skill_base_slow_debuff_movement_speed_+%_final	Enemy movement speed Slow@{0}%	0	active_skill_base_slow_debuff_movement_speed_+%_final
active_skill_base_stored_corpse_cost	Requires {0} stored Corpse per Zombie raised	0	active_skill_base_stored_corpse_cost
active_skill_base_tertiary_area_of_effect_radius	{0:+d} metre to Ignited Ground radius	0	active_skill_base_tertiary_area_of_effect_radius
active_skill_bleeding_effect_+%_final	{0}% more Magnitude of Bleeding inflicted	0	active_skill_bleeding_effect_+%_final
active_skill_bleeding_effect_+%_final_in_blood_stance	{0}% more Effect of Bleeding while in Blood Stance	0	active_skill_bleeding_effect_+%_final_in_blood_stance
active_skill_brands_allowed_on_enemy_+	Can have an additional Brand Attached to an Enemy	0	active_skill_brands_allowed_on_enemy_+
active_skill_buff_stack_gain_frequency_ms	Stage gain interval@{0}s	0	active_skill_buff_stack_gain_frequency_ms
active_skill_can_overload	Supported Skills Electrocute Primed enemies on Hit	0	active_skill_can_overload
active_skill_cannot_manually_reload	Supported Crossbow Ammunition Skills cannot reload	0	active_skill_cannot_manually_reload
active_skill_cast_speed_+%_applies_to_attack_speed_at_%_of_original_value	Increases and Reductions to Cast Speed apply to this Skill's Attack Speed	0	active_skill_cast_speed_+%_applies_to_attack_speed_at_%_of_original_value
active_skill_cast_speed_+%_final	{0}% more Cast Speed	0	active_skill_cast_speed_+%_final
active_skill_chaos_damage_+%_final	{0}% more Chaos Damage	0	active_skill_chaos_damage_+%_final
active_skill_chill_as_though_damage_+%_final	Chills Enemies as though dealing {0}% more damage	0	active_skill_chill_as_though_damage_+%_final
active_skill_chill_effect_+%_final	{0}% more Magnitude of Chill inflicted	0	active_skill_chill_effect_+%_final
active_skill_compounding_ignites	Ignites from a single use of this Skill Compound	0	active_skill_compounding_ignites
active_skill_consume_enemy_freeze_to_gain_damage_+%_final	Consumes Freeze on enemies to deal {0}% more Damage	0	active_skill_consume_enemy_freeze_to_gain_damage_+%_final
active_skill_consume_enemy_freeze_to_gain_damage_against_non_unique_+%_final	Consumes Freeze on Non-Unique enemies to deal {0}% more Damage	0	active_skill_consume_enemy_freeze_to_gain_damage_against_non_unique_+%_final
active_skill_consume_enemy_freeze_to_gain_damage_against_unique_+%_final	Consumes Freeze on Unique enemies to deal {0}% more Damage	0	active_skill_consume_enemy_freeze_to_gain_damage_against_unique_+%_final
