# unique_ivi_name_map.tsv - generated by poe_tools.py (build-item-names)
# generated: 2026-06-26T14:25:15Z
# Robust unique key: the game exposes the item's ItemVisualIdentity
# row at Base+0x30; its Id string (column 0) is this key.
# columns: ivi_id	unique_name
FourUniqueAmulet1	Igniferis
FourUniqueBodyDex1___	Bristleboar
FourUniqueBodyDex2	Foxshade
FourUniqueBodyDex3	Ashrend
FourUniqueBodyDex4	Sands of Silk
FourUniqueBodyDex5	Briskwrap
FourUniqueBodyDex6	Dustbloom
FourUniqueBodyDex7	The Rat Cage
FourUniqueBodyDex8	Quatl's Molt
FourUniqueBodyDexInt1	Apron of Emiran
FourUniqueBodyDexInt13	Cospri's Will
FourUniqueBodyDexInt14	Forgotten Warden
FourUniqueBodyDexInt2	Gloomform
FourUniqueBodyDexInt3	Sierran Inheritance
FourUniqueBodyDexInt4	The Dancing Mirage
FourUniqueBodyDexInt5	Redflare Conduit
FourUniqueBodyDexInt6	Zerphi's Serape
FourUniqueBodyInt12	Vis Mortis
FourUniqueBodyInt13	Cloak of Defiance
FourUniqueBodyInt14	Silks of Veneration
FourUniqueBodyInt1_	Ghostwrithe
FourUniqueBodyInt2	Bitterbloom
FourUniqueBodyInt3	The Black Doubt
FourUniqueBodyInt4	Necromantle
FourUniqueBodyInt5	Cloak of Flame
FourUniqueBodyInt6	Prayers for Rain
FourUniqueBodyInt7	Tetzlapokal's Desire
FourUniqueBodyInt8	The Covenant
FourUniqueBodyInt9_	Gloamgown
FourUniqueBodyStr1	Bramblejack
FourUniqueBodyStr12	The Brass Dome
FourUniqueBodyStr14	Kaom's Heart
FourUniqueBodyStr2	Blackbraid
FourUniqueBodyStr3	Edyrn's Tusks
FourUniqueBodyStr4	The Immortan
FourUniqueBodyStr5	Titanrot Cataphract
FourUniqueBodyStr6	Wandering Reliquary
FourUniqueBodyStr7	Kingsguard
FourUniqueBodyStr8	Greed's Embrace
FourUniqueBodyStrDex1	Coat of Red
FourUniqueBodyStrDex11	The Coming Calamity
FourUniqueBodyStrDex14	The Sunken Vessel
FourUniqueBodyStrDex2	The Barrow Dweller
FourUniqueBodyStrDex3_	Irongrasp
FourUniqueBodyStrDex4_	Pariah's Embrace
FourUniqueBodyStrDex5	Belly of the Beast
FourUniqueBodyStrDex6	Doryani's Prototype
FourUniqueBodyStrDex7	Widow's Reign
FourUniqueBodyStrDex8	Lightning Coil
FourUniqueBodyStrDex9	The Fallen Formation
FourUniqueBodyStrDexInt1	Tabula Rasa
FourUniqueBodyStrDexInt2	Atziri's Splendour
FourUniqueBodyStrInt11	Geofri's Sanctuary
FourUniqueBodyStrInt12	Sacrosanctum
FourUniqueBodyStrInt14	Loreweave
FourUniqueBodyStrInt15	The Unleashed
FourUniqueBodyStrInt16	Decree of Loyalty
FourUniqueBodyStrInt1_	Enfolding Dawn
FourUniqueBodyStrInt3	Icetomb
FourUniqueBodyStrInt4	Husk of Dreams
FourUniqueBodyStrInt5	Voll's Protector
FourUniqueBodyStrInt6	Soul Mantle
FourUniqueBodyStrInt7	The Mutable Star
FourUniqueBodyStrInt8	Waveshaper
FourUniqueBodyStrInt9	Couture of Crimson
FourUniqueBootsDex2	Briarpatch
FourUniqueBootsDex3	Gamblesprint
FourUniqueBootsDex4	Thunderstep
FourUniqueBootsDex5	Bushwhack
FourUniqueBootsDex9	Atziri's Step
FourUniqueBootsDexInt2	Ghostmarch
FourUniqueBootsDexInt3_	Powertread
FourUniqueBootsInt1	Luminous Pace
FourUniqueBootsInt2	Wanderlust
FourUniqueBootsInt3_	Bones of Ullr
FourUniqueBootsInt4_	Wondertrap
FourUniqueBootsInt5	Windscream
FourUniqueBootsStr1	Legionstride
FourUniqueBootsStr2	Corpsewade
FourUniqueBootsStr3	The Infinite Pursuit
FourUniqueBootsStr4_	Trampletoe
FourUniqueBootsStr5	Birth of Fury
FourUniqueBootsStrDex1	The Knight-errant
FourUniqueBootsStrDex2	Darkray Vectors
FourUniqueBootsStrDex3	Obern's Bastion
FourUniqueBootsStrDex4	Shankgonne
FourUniqueBootsStrInt2	Wake of Destruction
FourUniqueBootsStrInt9	Decree of Flight
FourUniqueBow1	Widowhail
FourUniqueBow13_	Lioneye's Glare
FourUniqueBow14	Periphery
FourUniqueBow2	Quill Rain
FourUniqueBow3	Ironbound
FourUniqueBow4	Splinterheart
FourUniqueBow5	Doomfletch
FourUniqueBow6	Death's Harp
FourUniqueBow7	Voltaxic Rift
FourUniqueBow8_	Slivertongue
FourUniqueBow9	Fairgraves' Curse
FourUniqueBreach1_	Skin of the Loyal
FourUniqueBreach2	Hand of Wisdom and Action
FourUniqueBreach3	Beyond Reach
FourUniqueBreach4a	Xoph's Blood
FourUniqueBreach4b	Choir of the Storm
FourUniqueBreach4c	The Pandemonius
FourUniqueCharm10	Valako's Roar
FourUniqueCharm11	Forsaken Bangle
FourUniqueCharm1_	Nascent Hope
FourUniqueCharm2	Sanguis Heroum
FourUniqueCharm3	Arakaali's Gift
FourUniqueCharm4	Beira's Anguish
FourUniqueCharm5	The Black Cat
FourUniqueCharm6_	For Utopia
FourUniqueCharm7_	The Fall of the Axe
FourUniqueCharm8	Ngamahu's Chosen
FourUniqueCharm9	Breath of the Mountains
FourUniqueCorruption1	The Gnashing Sash
FourUniqueCorruption2_	Bursting Decay
FourUniqueCorruption3_	Death Articulated
FourUniqueCrossbow1	Mist Whisper
FourUniqueCrossbow13	The Last Lament
FourUniqueCrossbow14	Redemption
FourUniqueCrossbow2	Rampart Raptor
FourUniqueCrossbow5_	Double Vision
FourUniqueDelirium1	Assailum
FourUniqueDelirium2	Perfidy
FourUniqueDelirium3	Melting Maelstrom
FourUniqueDelirium4__	Collapsing Horizon
FourUniqueDelirium5	Strugglescream
FourUniqueExpedition1	Svalinn
FourUniqueExpedition2	Keeper of the Arc
FourUniqueExpedition3_	Olroth's Resolve
FourUniqueExpedition4	Olrovasara
FourUniqueFocus1	Deathrattle
FourUniqueFocus2	Threaded Light
FourUniqueFocus3	Effigy of Cruelty
FourUniqueFocus4_	Carrion Call
FourUniqueFocus5	Serpent's Lesson
FourUniqueFocus6	The Eternal Spark
FourUniqueFocus7_	Apep's Supremacy
FourUniqueFocus8	Rathpith Globe
FourUniqueGlovesDex1____	Northpaw
FourUniqueGlovesDex2	Grip of Winter
FourUniqueGlovesDex4	Idle Hands
FourUniqueGlovesDex5_	Snakebite
FourUniqueGlovesDex6	Maligaro's Virtuosity
FourUniqueGlovesDex9	Horror's Flight
FourUniqueGlovesDexInt1	Plaguefinger
FourUniqueGlovesDexInt2	Killjoy
FourUniqueGlovesDexInt5	Essentia Sanguis
FourUniqueGlovesDexInt6	Thunderfist
FourUniqueGlovesInt1	Painter's Servant
FourUniqueGlovesInt2	Candlemaker
FourUniqueGlovesInt3	Doedre's Tenure
FourUniqueGlovesInt4_	Kitoko's Current
FourUniqueGlovesInt5	Demon Stitcher
FourUniqueGlovesInt6	Nightscale
FourUniqueGlovesInt7	Leopold's Applause
FourUniqueGlovesStr1	Facebreaker
FourUniqueGlovesStr2	Treefingers
FourUniqueGlovesStr3	Lochtonial Caress
FourUniqueGlovesStr4	Dreadfist
FourUniqueGlovesStr5	Atziri's Acuity
FourUniqueGlovesStr7	Empire's Grasp
FourUniqueGlovesStrDex1	Jarngreipr
FourUniqueGlovesStrDex2	Aurseize
FourUniqueGlovesStrDex3	Deathblow
FourUniqueGlovesStrDex4	Valako's Vice
FourUniqueGlovesStrDex5	Aerisvane's Wings
FourUniqueGlovesStrInt1_	Gravebind
FourUniqueGlovesStrInt2	Shackles of the Wretched
FourUniqueGlovesStrInt3	Blueflame Bracers
FourUniqueGlovesStrInt4	The Prisoner's Manacles
FourUniqueHelmetDex1	Innsmouth
FourUniqueHelmetDex10_	Myris Uxor
FourUniqueHelmetDex11	Alpha's Howl
FourUniqueHelmetDex2	Goldrim
FourUniqueHelmetDex3	Radiant Grief
FourUniqueHelmetDex5	Elevore
FourUniqueHelmetDex6	Constricting Command
FourUniqueHelmetDex7_	The Black Insignia
FourUniqueHelmetDex8	Starkonja's Head
FourUniqueHelmetDex9	Heatshiver
FourUniqueHelmetDexInt1	The Hollow Mask
FourUniqueHelmetDexInt2_	Mask of the Sanguimancer
FourUniqueHelmetDexInt3	Leer Cast
FourUniqueHelmetDexInt4	Atsak's Sight
FourUniqueHelmetDexInt5__	The Vertex
FourUniqueHelmetDexInt6	The Three Dragons
FourUniqueHelmetDexInt8	Mind of the Council
FourUniqueHelmetInt1	Crown of Thorns
FourUniqueHelmetInt11	Indigon
FourUniqueHelmetInt2_	The Devouring Diadem
FourUniqueHelmetInt3	Visage of Ayah
FourUniqueHelmetInt4	Forbidden Gaze
FourUniqueHelmetInt5	Mask of the Stitched Demon
FourUniqueHelmetInt6	Atziri's Disdain
FourUniqueHelmetInt7	Crown of Eyes
FourUniqueHelmetInt8	Scold's Bridle
FourUniqueHelmetStr1a	Horns of Bynden
FourUniqueHelmetStr1b	Wings of Caelyn
FourUniqueHelmetStr2	Ezomyte Peak
FourUniqueHelmetStr3	Black Sun Crest
FourUniqueHelmetStr4	Thrillsteel
FourUniqueHelmetStr5	Deidbell
FourUniqueHelmetStr6	Corona of the Red Sun
FourUniqueHelmetStr8	Blood Price
FourUniqueHelmetStrDex1_	Greymake
FourUniqueHelmetStrDex2	Erian's Cobble
FourUniqueHelmetStrDex3	Ironride
FourUniqueHelmetStrDex4	The Smiling Knight
FourUniqueHelmetStrDex5	The Vile Knight
FourUniqueHelmetStrDex7	The Bringer of Rain
FourUniqueHelmetStrDex9_	Decree of Acuity
FourUniqueHelmetStrInt1	Crown of the Victor
FourUniqueHelmetStrInt2	Bronzebeard
FourUniqueHelmetStrInt3	Crown of the Pale King
FourUniqueHelmetStrInt4	Veil of the Night
FourUniqueHelmetStrInt5_	Cornathaum
FourUniqueHelmetStrInt6	The Deepest Tower
FourUniqueHelmetStrInt9	Vestige of Darkness
FourUniqueJewel1	Grand Spectrum
FourUniqueJewel10	Against the Darkness
FourUniqueJewel11	Undying Hate
FourUniqueJewel12_	Heart of the Well
FourUniqueJewel13	Flesh Crucible
FourUniqueJewel14_	Split Personality
FourUniqueJewel15	Voices
FourUniqueJewel2	Grand Spectrum
FourUniqueJewel3_	Grand Spectrum
FourUniqueJewel4	Megalomaniac
FourUniqueJewel5	Heroic Tragedy
FourUniqueJewel6	From Nothing
FourUniqueJewel7	Controlled Metamorphosis
FourUniqueJewel8	Prism of Belief
FourUniqueJewel9	The Adorned
FourUniqueLifeFlask1_	Blood of the Warrior
FourUniqueLifeFlask2	Opportunity
FourUniqueManaFlask1	Lavianga's Spirits
FourUniqueManaFlask2	Uhtred's Chalice
FourUniqueOneHandMace1	Brynhand's Mark
FourUniqueOneHandMace13	Mjölner
FourUniqueOneHandMace14	Sadist's Mercy
FourUniqueOneHandMace15	Serle's Grit
FourUniqueOneHandMace2_	Wylund's Stake
FourUniqueOneHandMace3	Frostbreath
FourUniqueOneHandMace4	Trenchtimbre
FourUniqueOneHandMace5__	Sculpted Suffering
FourUniqueOneHandMace6_	Seeing Stars
FourUniqueOneHandMace7	Nebuloch
FourUniqueOneHandMace9	Brutus' Lead Sprinkler
FourUniquePinnacle1	Morior Invictus
FourUniquePinnacle2	Solus Ipse
FourUniquePinnacle3_	Sine Aequo
FourUniquePinnacle4	Ab Aeterno
FourUniquePinnacle5_	Sacred Flame
FourUniqueQuarterstaff1	The Blood Thorn
FourUniqueQuarterstaff14	Duality
FourUniqueQuarterstaff2	Pillar of the Caged God
FourUniqueQuarterstaff3	The Sentry
FourUniqueQuarterstaff5	Matsya
FourUniqueQuarterstaff6__	Nazir's Judgement
FourUniqueQuiver1	Asphyxia's Wrath
FourUniqueQuiver12	Drillneck
FourUniqueQuiver2_	Blackgleam
FourUniqueQuiver3	The Lethal Draw
FourUniqueQuiver5__	Rearguard
FourUniqueQuiver6_	Murkshaft
FourUniqueQuiver8_	Cadiro's Gambit
FourUniqueRing10	Polcirkeln
FourUniqueRing11	Dream Fragments
FourUniqueRing12	Whisper of the Brotherhood
FourUniqueRing13	Levinstone
FourUniqueRing14_	The Burrower
FourUniqueRing15	Call of the Brotherhood
FourUniqueRing16	Ming's Heart
FourUniqueRing17	Blackflame
FourUniqueRing18	Original Sin
FourUniqueRing19	Vigilant View
FourUniqueRing1_	Blackheart
FourUniqueRing20	Death Rush
FourUniqueRing21	Thief's Torment
FourUniqueRing22	Evergrasping Ring
FourUniqueRing23	Heartbound Loop
FourUniqueRing24	Snakepit
FourUniqueRing25	Gifts from Above
FourUniqueRing26a__	Berek's Grip
FourUniqueRing26b	Berek's Pass
FourUniqueRing26c	Berek's Respite
FourUniqueRing27	The Taming
FourUniqueRing28	Perandus Seal
FourUniqueRing29	Andvarius
FourUniqueRing2a	Icefang Orbit
FourUniqueRing2b	Venopuncture
FourUniqueRing3	Prized Pain
FourUniqueRing30	Ventor's Gamble
FourUniqueRing32_	Kalandra's Touch
FourUniqueRing33__e	Grip of Kulemak
FourUniqueRing33_a	Grip of Kulemak
FourUniqueRing33_b	Grip of Kulemak
FourUniqueRing33_c	Grip of Kulemak
FourUniqueRing33_d	Grip of Kulemak
FourUniqueRing34_	Veilpiercer
FourUniqueRing4_	Glowswarm
FourUniqueRing5	Doedre's Damning
FourUniqueRing6	Seed of Cataclysm
FourUniqueRing7	Cracklecreep
FourUniqueRing8	Blistering Bond
FourUniqueRitual1	The Burden of Shadows
FourUniqueRitual2	Beetlebite
FourUniqueRitual3	Ingenuity
FourUniqueRitual4	Pragmatism
FourUniqueSanctum1	Temporalis
FourUniqueSanctum2	Sandstorm Visage
FourUniqueSanctum3	Blessed Bonds
FourUniqueSanctum4a	Sekhema's Resolve Fire
FourUniqueSanctum4b	Sekhema's Resolve Cold
FourUniqueSanctum4c	Sekhema's Resolve Lightning
FourUniqueSceptre1	The Dark Defiler
FourUniqueSceptre14	Sylvan's Effigy
FourUniqueSceptre4	Font of Power
FourUniqueSceptre6a__	Guiding Palm of the Heart
FourUniqueSceptre6b	Guiding Palm of the Eye
FourUniqueSceptre6c	Guiding Palm of the Mind
FourUniqueSceptre6d_	Palm of the Dreamer
FourUniqueShieldDex1	Dunkelhalt
FourUniqueShieldDex11_	Calgyra's Arc
FourUniqueShieldDex12	Sunsplinter
FourUniqueShieldDex2	Nocturne
FourUniqueShieldDex3	Rondel de Ezo
FourUniqueShieldDex4	Bloodbarrier
FourUniqueShieldDex5	Kaltenhalt
FourUniqueShieldDex6_	Silverthorne
FourUniqueShieldStr1	Dionadair
FourUniqueShieldStr13	Chernobog's Pillar
FourUniqueShieldStr14	Nightfall
FourUniqueShieldStr2	Wulfsbane
FourUniqueShieldStr3	Doomgate
FourUniqueShieldStr4	Window to Paradise
FourUniqueShieldStr5_	The Wailing Wall
FourUniqueShieldStr6_	Lycosidae
FourUniqueShieldStr7	Redblade Banner
FourUniqueShieldStr8	The Surrender
FourUniqueShieldStrDex1	Arvil's Wheel
FourUniqueShieldStrDex12	Eyes of the Runefather
FourUniqueShieldStrDex2_	Merit of Service
FourUniqueShieldStrDex4	Feathered Fortress
FourUniqueShieldStrInt1	Alkem Eira
FourUniqueShieldStrInt2	Oaksworn
FourUniqueShieldStrInt3	Saffell's Frame
FourUniqueShieldStrInt4	Crest of Ardura
FourUniqueShieldStrInt5	Prism Guardian
FourUniqueShieldStrInt6	Rise of the Phoenix
FourUniqueSpear1	Splinter of Loratta
FourUniqueSpear13	Spire of Ire
FourUniqueSpear14_	Atziri's Contempt
FourUniqueSpear15	The Ordained
FourUniqueSpear2	Tyranny's Grip
FourUniqueSpear3	Chainsting
FourUniqueSpear4_	Skysliver
FourUniqueSpear5	Daevata's Wind
FourUniqueSpear6	Tangletongue
FourUniqueSpear7	Saitha's Spear
FourUniqueSpirit1	Rite of Passage
FourUniqueStaff1	Dusk Vigil
FourUniqueStaff13	The Unborn Lich
FourUniqueStaff14__	The Whispering Ice
FourUniqueStaff17	Atziri's Rule
FourUniqueStaff18	The Raven's Flock
FourUniqueStaff2	Taryn's Shiver
FourUniqueStaff3	Earthbound
FourUniqueStaff5	The Searing Touch
FourUniqueStaff6	Sire of Shards
FourUniqueTalisman1	Amor Mandragora
FourUniqueTalisman10	Surge of the Tide
FourUniqueTalisman14	Fury of the King
FourUniqueTalisman2_	Spiteful Floret
FourUniqueTalisman4	Hysseg's Claw
FourUniqueTalisman8_	The Flesh Poppet
FourUniqueTwoHandMace1	Hoghunt
FourUniqueTwoHandMace10	Marohi Erqi
FourUniqueTwoHandMace13	The Hammer of Faith
FourUniqueTwoHandMace14_	Twisted Empyrean
FourUniqueTwoHandMace2	Hrimnor's Hymn
FourUniqueTwoHandMace3	Trephina
FourUniqueTwoHandMace4	Brain Rattler
FourUniqueTwoHandMace5_	The Empty Roar
FourUniqueTwoHandMace6	Shyaba
FourUniqueTwoHandMace7	Chober Chaber
FourUniqueTwoHandMace8	Quecholli
FourUniqueTwoHandMace9	Tidebreaker
FourUniqueUltimatum1	Glimpse of Chaos
FourUniqueUltimatum2	Zerphi's Genesis
FourUniqueUltimatum3	Mahuxotl's Machination
FourUniqueUltimatum4	Hateforge
FourUniqueWand1	The Wicked Quill
FourUniqueWand15_	Liminal Coil
FourUniqueWand16_	Runeseeker's Call
FourUniqueWand2	Sanguine Diviner
FourUniqueWand3	Lifesprig
FourUniqueWand4	Adonia's Ego
FourUniqueWand5	Enezun's Charge
FourUniqueWand7	Cursecarver
