# skill_name_map.tsv - generated by poe_tools.py (build-item-names)
# generated: 2026-09-15T15:29:38Z
# GrantedEffects.Id (read live from memory) -> ActiveSkills.DisplayedName.
# columns: granted_effect_id	displayed_name	icon_ddsfile
ChilledGroundBurstWaterDjinn	Navira's Fracturing	Art/2DArt/SkillIcons/SorceressWaterDjinnChiilldedGroundBurst.dds
ChilledGroundOasisConvertWaterDjinn	Navira's Oasis	Art/2DArt/SkillIcons/SorceressWaterDjinnCommandOasis.dds
ClawRakePlayer	[DNT-UNUSED] Claw Rake	Art/2DArt/SkillIcons/icondualswing.dds
ClusterGrenadePlayer	Cluster Grenade	Art/2DArt/SkillIcons/MercClusterGrenade.dds
CoilingBoltsPlayer	Coiling Bolts	Art/2DArt/SkillIcons/CoilOfUndoingSkill.dds
CombatFrenzyPlayer	Combat Frenzy	Art/2DArt/SkillIcons/RangerCombatFrenzySkill.dds
CombatFrenzyRogueExileHuntress1	Combat Frenzy	Art/2DArt/SkillIcons/RangerCombatFrenzySkill.dds
ComboKnifeThrowPlayer	[DNT-UNUSED] Combo Knife Throw	Art/2DArt/SkillIcons/shadowprojectiles.dds
CometPlayer	Comet	Art/2DArt/SkillIcons/SorceressComet.dds
CometRogueExileMonk2	Comet	Art/2DArt/SkillIcons/SorceressComet.dds
CommandCompanionPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandCorpseBeetleExplodePlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandDeathFromAbovePlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandFireDjinnFireRunesPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandFireDjinnLivingBombPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandFireDjinnMassFusillade	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandFireDjinnMeteorPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandMadFlightPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandMistRavenPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandPackleaderPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSandDjinnExplosiveTeleportPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSandDjinnHandSlamPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSandDjinnKnifeThrowPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSkeletalArsonistPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSkeletalBrutesPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSkeletalFrostMagePlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSkeletalReaversPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSkeletalSniperPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandSkeletalStormMagePlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandUnloadAmmoPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandWaterDjinnBubblePlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandWaterDjinnESRechargePlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandWaterDjinnGroundBurstPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CommandWaterDjinnOasisPlayer	Command: {0}	Art/2DArt/SkillIcons/Rolldodge.dds
CompanionBearMaul	Maul	Art/2DArt/SkillIcons/DruidBearMaul.dds
CompanionBearSlam	Slam	Art/2DArt/SkillIcons/iconbasicattack.dds
CompanionBearWarcry	Roar	Art/2DArt/SkillIcons/iconbasicattack.dds
ConcussiveRunesPlayer	Concussive Runes	Art/2DArt/SkillIcons/iconbasicattack.dds
ConductiveRunesPlayer	Conductive Runes	Art/2DArt/SkillIcons/ExpeditionRunewordHazard.dds
ConductivityPlayer	Conductivity	Art/2DArt/SkillIcons/Conductivity.dds
ContagionPlayer	Contagion	Art/2DArt/SkillIcons/WitchContagion.dds
ConvalescenceActivePlayer	Convalescence	Art/2DArt/SkillIcons/ConvalescenceSkillIcon.dds
ConvalescenceActiveRogueExileWitch1	Convalescence	Art/2DArt/SkillIcons/ConvalescenceSkillIcon.dds
ConvalescencePlayer	Convalescence	Art/2DArt/SkillIcons/ConvalescenceSkillIcon.dds
ConvalescenceRogueExileWitch1	Convalescence	Art/2DArt/SkillIcons/ConvalescenceSkillIcon.dds
CorpseBeetleExplode	Sandblast	Art/2DArt/SkillIcons/SorceressSandDjinnCorpseBeetles.dds
CorpseBeetlesPlayer	Kelari's Malediction	Art/2DArt/SkillIcons/SorceressSandDjinnCorpseBeetles.dds
CorpseCloudPlayer	Decompose	Art/2DArt/SkillIcons/DecomposeSkill.dds
CorpseWheelCharge	Shield Charge	Art/2DArt/SkillIcons/iconshieldcharge.dds
CorpsewadeCorpseCloudPlayer	Decompose	Art/2DArt/SkillIcons/DecomposeSkill.dds
CracklingPalmPlayer	Crackling Palm	Art/2DArt/SkillIcons/ThunderfistUniqueSkill.dds
CrossbowRequiemAmmoPlayer	Compose Requiem	Art/2DArt/SkillIcons/RequiemChargeSkillCrossbow.dds
CrossbowRequiemPlayer	Requiem	Art/2DArt/SkillIcons/RequiemShotSkillCrossbow.dds
CrowbellBellCharge	Shield Charge	Art/2DArt/SkillIcons/iconshieldcharge.dds
CrowbellBellWhirlEAA	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellLeapSlam	Leap Slam	Art/2DArt/SkillIcons/BruteLeapSlam.dds
CrowbellLeapSlamEnraged	Leap Slam	Art/2DArt/SkillIcons/BruteLeapSlam.dds
CrowbellMeleeBellCombo	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeBellSwipe	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeCombo	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeComboEnraged	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeSlash	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeSlashEnraged	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeSwipe	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrowbellMeleeSwipeEnraged	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CrushingEarthPlayer	[DNT] Crushing Earth	Art/2DArt/SkillIcons/AbsolutionBlast.dds
CrushingFearPlayer	Crushing Fear	Art/2DArt/SkillIcons/ChokingMistsSkillIcon.dds
CullTheWeakPlayer	Cull the Weak	Art/2DArt/SkillIcons/FrenziedLungeSkillIcon.dds
CultistBoneGolemLeapSlam	Leap Slam	Art/2DArt/SkillIcons/BruteLeapSlam.dds
CurseOfRepulsionPlayer	Repulsion	Art/2DArt/SkillIcons/ExpeditionMarkofRepulsion.dds
CurseOfRepulsionShockwavePlayer	Repulsion Wave	Art/2DArt/SkillIcons/ExpeditionMarkofRepulsion.dds
DATTBoneConstructPlayerSummoned	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DATTThunderbirdDash	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTAncestralJadeHulkLeapSlam	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTAnimateWeaponSpearDashStab	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTArmadilloDemonRolling	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTBlackJaw2Leap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTBlackJawLeap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTBloodKnightDash	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTChaosGodGorillaLeapSlam	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTChaosGodTriheadBatLeapSlam	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTCragLeaperLeap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTGeneticsScientistFemaleEnrageDash	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTGeneticsScientistMaleEnrageDash	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTHellscapeDemonElite1	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTHellscapeStabbySkyStab	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTHusbandDash	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTKaruiBloodFever2HLeap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTKaruiBloodFeverButcherLeap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTMinotaurGladiatorLeapSlam	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTMutewindManDualSwordGrimLeapslam	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTQuadrillaCommandoRoll	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTScarecrowLeap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTScientist3Engage	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTSoulCoreQuadrillaCommandoRoll	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTSpearfisherEngage	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTSunWorshipperEnrageDash	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTWildBreachBossLeapSlam	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTYamaJumpForwards	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DTTYamaJumpForwardsShort	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DarkEffigyPlayer	Dark Effigy	Art/2DArt/SkillIcons/WitchDarkEffigy.dds
DarkEffigyProjectilePlayer	Vile Effusion	Art/2DArt/SkillIcons/WitchDarkEffigy.dds
DarkEffigyProjectileRogueExileWitch2	Vile Effusion	Art/2DArt/SkillIcons/WitchDarkEffigy.dds
DarkEffigyRogueExileWitch2	Dark Effigy	Art/2DArt/SkillIcons/WitchDarkEffigy.dds
DarkPactPlayer	Dark Pact	Art/2DArt/SkillIcons/DeathPactSkill.dds
DarkTempestPlayer	His Dark Horizon	Art/2DArt/SkillIcons/DarkTempest.dds
DeathFromAboveDaemonMinion	Death From Above	Art/2DArt/SkillIcons/TacticianDeathFromAboveSkillIcon.dds
DeathStormSkeletonStormMageMinion	Death Storm	Art/2DArt/SkillIcons/WitchStormSkeleton.dds
DefianceBannerPlayer	Defiance Banner	Art/2DArt/SkillIcons/DefianceBannerSkill.dds
DefianceBannerReservationPlayer	Defiance Banner	Art/2DArt/SkillIcons/DefianceBannerSkill.dds
DeliriumDemonMeleeLeft	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DeliriumDemonMeleeRight	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DeliriumMinionLeapSlam	Leap Slam	Art/2DArt/SkillIcons/BruteLeapSlam.dds
DeliriumMonsterChargedBlast	Flameblast	Art/2DArt/SkillIcons/ChargedBlast.dds
DeliriumMonsterChargedBlastUnique	Flameblast	Art/2DArt/SkillIcons/ChargedBlast.dds
DeliriumOnDeathFirestorm	Firestorm	Art/2DArt/SkillIcons/WitchFirestorm.dds
DeliriumOnDeathFlameblast	Flameblast	Art/2DArt/SkillIcons/ChargedBlast.dds
DeliriumPhysBossMeleeSlam	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DeliriumTemporalAnomaly	Glimpse of Eternity	Art/2DArt/SkillIcons/TimeAnomaly.dds
DelveLeapSlamCaveDweller	Leap Slam	Art/2DArt/SkillIcons/BruteLeapSlam.dds
DelveMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
DelveSpiderFlickerStrike	Flicker Strike	Art/2DArt/SkillIcons/MonkFlickerStrikeTeleport.dds
DemonFormPlayer	Demon Form	Art/2DArt/SkillIcons/WitchTransformDemon.dds
DemonMagusPlayer	Summon Demon Magus	Art/2DArt/SkillIcons/SpellcastingMinionSupport.dds
DespairPlayer	Despair	Art/2DArt/SkillIcons/Despair.dds
DespairRogueExileWitch2	Despair	Art/2DArt/SkillIcons/Despair.dds
DestructiveLinkSkeletonBombadierMinion	Explosive Demise	Art/2DArt/SkillIcons/WitchArsonistSkeleton.dds
DetonateDeadPlayer	Detonate Dead	Art/2DArt/SkillIcons/WitchDetonateDead.dds
DetonateLivingPlayer	Detonate Living	Art/2DArt/SkillIcons/ExpeditionDetonateLiving.dds
DetonatingArrowPlayer	Detonating Arrow	Art/2DArt/SkillIcons/RangerDetonatingArrowSkill.dds
DisciplinePlayer	Discipline	Art/2DArt/SkillIcons/DisciplineWeaponSkill.dds
